ID	DataSet	Text	Off	Slur	Nom	Dist	Cat
D-7798	D	All da white folk off twitter yet? Da colored tweet at night while y'all sleep cuz you gotta woyke tomorrow.	N	N	N	Y	nonDist
D-7890	D	RT @SwayHasAnswers: Twerking is ghetto until White people do it. Hip Hop culture is violent & dangerous until they want to profit of it. ht.	N	N	N	Y	nonDist
WH-13857342i	WH	@wetsprocket but given that these people seem to not understand the difference between charity and NPO, why bother giving them my time?	N	N	N	Y	nonDist
D-16788	D	not all black girls are ghetto though	N	N	N	Y	nonDist
D-18631	D	RT @ZephTheGreat: Not all black girls are ghetto .	N	N	N	Y	nonDist
D-23348a	D	@SaltyBlackBroad ma'am ...Did you clear that tweet with the @NAACP ? Careful they may brand you "race traitor" for the nerve of thinking&#9786;&#65039;	N	N	N	Y	nonDist
M-22	M	I prefer to include gays in the definition of marriage.	N	N	Y	N	nonNom
M-23	M	I actually like the term marriage that includes gays over gay marriage.	N	N	Y	N	nonNom
M-24	M	Thanks for that first! Like most of us, I still have a open wound caused by a female.	N	N	Y	N	nonNom
M-32	M	My main argument against is that the state shouldn't have any say in marriage whatsoever, not anything against gays.	N	N	Y	N	nonNom
M-34	M	Until the government has codified “separate but equal” facilities for gays and straights then there has been no oppression.	N	N	Y	N	nonNom
M-38	M	And while hate crimes for gays have been going down, hate crimes for Blacks and White males has been going up!	N	N	Y	N	nonNom
M-45	M	You only have to read “After the Ball: How America Will Conquer Its Fear and Hatred of Gays in the 90’s” to understand this.	N	N	Y	N	nonNom
M-56	M	Your feeble attempt to equate the struggle of Blacks with the struggle of gays through insipid humor is insulting on so many levels.	N	N	Y	N	nonNom
M-59	M	However, do not try to equate 400 years of oppression to modern day discrimination of gays.	N	N	Y	N	nonNom
M-67	M	I am happy I'm a female, and I want a man that is happy to be a man, and is willing to lead his household, and be the provider, but also be THE MAN of the house.	N	N	Y	N	nonNom
M-83	M	Many have infact, science itself will never definitively prove gays are genetic because they arnt now deal with this truth.	N	N	Y	N	nonNom
M-138	M	We often talk about this issue on the abstract level in Washington, D.C., but you know how it's being talked about in states like Iowa and New Hampshire among illegals in our country today -- 11 million plus.	N	N	Y	N	nonNom
M-200	M	Then as the games industry became more popular, grew larger. there was less of the ridicule and more females.	N	N	Y	N	nonNom
M-209	M	Y'all some poors, not having HD in 09...	N	N	Y	N	nonNom
M-212	M	My hotel doesn't have the Cubs game because baseball allows their games to be broadcast on FS1 like a bunch of poors.	N	N	Y	N	nonNom
M-241	M	Mostly I see 3-4-5 females with 6-7-8 guys and that's insane. Beautiful girls that are also successful and educated can also reject or tell	N	N	Y	N	nonNom
M-244	M	“I have no problem with day-to-day gays but the gay elite” followed by points aimed at homosexuals as individuals is as convincing as “I have a gay friend so I can say…”	N	N	Y	N	nonNom
M-260	M	The poor are no more monolithic than the rest of us.	N	N	Y	N	nonNom
M-264	M	lol why would the poor being taxed when there are rich pples It's how it works in France	N	N	Y	N	nonNom
M-279	M	As a gay teen I can confirm first hand that there are many gays that are depressed	N	N	Y	N	nonNom
M-292	M	You know nothing of the war on the poor advocated by law makers like Ms. Butt	N	N	Y	N	nonNom
M-296b	M	When women hit men, they throw away the protection automatically afforded them just because they were born with XX chromosomes (indeed, some females are bigger than males). It is as if she is saying, "I'd rather fight and take my chances." 	N	N	Y	N	nonNom
M-314	M	One Day the Poor Will Have Nothing Left to Eat but the Rich.	N	N	Y	N	nonNom
M-327	M	Even more purchasing restrictions to feed the poor?	N	N	Y	N	nonNom
M-342	M	Never forget it was a Republican administration that collapsed the economy and caused this depression in the first place, and now they are using their own incompetence as an excuse to brutalize the poor.	N	N	Y	N	nonNom
M-346	M	This quote from a Portland Press Herald profile explains a lot of his hostility toward the poor:	N	N	Y	N	nonNom
M-389	M	Could it be the people paying aren’t interested in the POORS and that the politics reflect that?	N	N	Y	N	nonNom
M-403	M	As for me, 100% wrong, but clearly I’m not one of the GRATEFUL POORS this diary is concerned with, so I’m done.	N	N	Y	N	nonNom
M-406	M	And yet I’m one of your beloved POORS….	N	N	Y	N	nonNom
M-495	M	but there are some exceptional females out there there are some women who have the looks, the body, they’re respectful, their finances are in order.	N	N	Y	N	nonNom
M-566	M	Why every female swear I got all the females ?	N	N	Y	N	nonNom
M-603	M	To find even one female who respects me as a human being, all the hard work I've put into being a decent one 	N	N	Y	N	nonNom
M-621	M	just like how now the average is 5'10 and yet every female feels like she deserves a 6 foot + guy.	N	N	Y	N	nonNom
M-622	M	Sounds like another female working a male profile.	N	N	Y	N	nonNom
M-624	M	lmaoo us female dont worry we find the solution!!	N	N	Y	N	nonNom
M-626	M	Great debate Hillary is getting the votes from every female in our house and the men as well. GO HILLARY GO!!!	N	N	Y	N	nonNom
M-627	M	A real woman doesn't have to throw dirt on another females name to feel more secure about herself.	N	N	Y	N	nonNom
M-632	M	I cant find one female under 50 who can cook as well as me.	N	N	Y	N	nonNom
M-633	M	Any female who can't take constructive criticism is an ultra turn off.	N	N	Y	N	nonNom
M-640	M	And speaking from personal experience, I've known two females I've been related to by marriage who simply couldn't comprehend basic math concepts.	N	N	Y	N	nonNom
M-658	M	some females just want a dude who they can chill and enjoy conversations with	N	N	Y	N	nonNom
M-660	M	Zayn has 4 females on his band and they're all different. I love my son who loves diversity.	N	N	Y	N	nonNom
D-743	D	#Iraq gov troops were handed a severe defeat by #ISIS at Saqlawiya -- there's chatter of over 300 soldiers lost &amp; Jihadis raving about it	N	N	Y	N	nonNom
M-1104	M	The female character, Pocahontas, shows that her potential as a leader is complicated by her position on the margins of tribal life.	N	N	Y	N	nonNom
M-1110	M	I don’t think it’s “funny” to be a female and talk about routes.  I think it’s my job.	N	N	Y	N	nonNom
D-2690	D	@BlakeAnderson21 thanks Hun! Haha	N	N	Y	N	nonNom
D-3343	D	"@GingerDemoness Den you enjoy da nite wit a colored man. We do it again in 2 weeks.  Lets me no if I needs ta bring da magnums"	N	N	Y	N	nonNom
D-3523	D	@HuntsTheWind I wonder if I have my very own NSA spook following me by now?	N	N	Y	N	nonNom
D-11519	D	I'm an 18 year old gay driving through the back roads of redneck Virginia blasting Cheetah Girls. If that doesn't scream sitcom, what does?	N	N	Y	N	nonNom
D-14757	D	@Black__Elvis: My favorite episode of Friends is the one where blacks mysteriously vanish and unemployed white people find affordable ho...	N	N	Y	N	nonNom
