COLDID	Annotator	OriginalID	Text	Q1	Q2	Q3	Q4
1	A	D-5	You’re black? You don’t sound like you’re black	Y	N	Y	N
1	C	D-5	You’re black? You don’t sound like you’re black	Y	N	N	N
1	D	D-5	You’re black? You don’t sound like you’re black	Y	N	N	Y
2	A	D-6	you’re pretty for a black girl	Y	N	N	Y
2	D	D-6	you’re pretty for a black girl	Y	N	N	Y
2	E	D-6	you’re pretty for a black girl	Y	N	N	Y
3	A	M-6	eating like A Poor is chic & hilarious bc we are Not Poor & smugly show it	Y	N	Y	N
3	B	M-6	eating like A Poor is chic & hilarious bc we are Not Poor & smugly show it	Y	N	Y	N
3	C	M-6	eating like A Poor is chic & hilarious bc we are Not Poor & smugly show it	Y	N	Y	N
3	D	M-6	eating like A Poor is chic & hilarious bc we are Not Poor & smugly show it	Y	N	Y	Y
3	F	M-6	eating like A Poor is chic & hilarious bc we are Not Poor & smugly show it	Y	N	Y	Y
4	B	D-13	I don't think of you as a Mexican	N	N	N	Y
4	E	D-13	I don't think of you as a Mexican	Y	N	N	Y
4	F	D-13	I don't think of you as a Mexican	Y	N	Y	Y
5	A	M-12a	#askcon idk what a gay is but tell them to drink their holy water 	Y	N	Y	Y
5	B	M-12a	#askcon idk what a gay is but tell them to drink their holy water 	Y	N	Y	N
5	C	M-12a	#askcon idk what a gay is but tell them to drink their holy water 	Y	N	Y	N
6	A	M-12b	If a poor does its "Cheap" !! If a rich does its a "Trend" :/	N	N	Y	N
6	C	M-12b	If a poor does its "Cheap" !! If a rich does its a "Trend" :/	N	N	Y	N
6	E	M-12b	If a poor does its "Cheap" !! If a rich does its a "Trend" :/	N	N	Y	N
7	A	M-12c	If an illegal was settled in Mexico or Canada, I promise you they would be deported! What makes Trump so bad for wanting to enforce USA law?	N	N	Y	N
7	B	M-12c	If an illegal was settled in Mexico or Canada, I promise you they would be deported! What makes Trump so bad for wanting to enforce USA law?	Y	N	Y	N
7	D	M-12c	If an illegal was settled in Mexico or Canada, I promise you they would be deported! What makes Trump so bad for wanting to enforce USA law?	Y	N	Y	N
8	A	D-13	" bad bitches is the only thing that i like "	N	Y	Y	N
8	B	D-13	" bad bitches is the only thing that i like "	N	Y	Y	N
8	D	D-13	" bad bitches is the only thing that i like "	N	Y	N	N
9	A	M-13a	A poor does not give orders he takes them #fact	Y	N	Y	N
9	B	M-13a	A poor does not give orders he takes them #fact	Y	N	Y	N
9	C	M-13a	A poor does not give orders he takes them #fact	Y	N	Y	N
9	D	M-13a	A poor does not give orders he takes them #fact	Y	N	Y	N
9	E	M-13a	A poor does not give orders he takes them #fact	Y	N	Y	N
9	F	M-13a	A poor does not give orders he takes them #fact	Y	N	Y	N
10	B	M-13c	Should a male who loves a male and a female who loves a female have all -- all the constitutional rights enjoyed by every American citizen?	N	N	Y	N
10	E	M-13c	Should a male who loves a male and a female who loves a female have all -- all the constitutional rights enjoyed by every American citizen?	N	N	N	N
10	F	M-13c	Should a male who loves a male and a female who loves a female have all -- all the constitutional rights enjoyed by every American citizen?	N	N	Y	N
11	B	M-14a	use to be fan of Sam Smith, I just fell in love with his voice but when he open up being a gay. I was like Oh! Dear, you can’t be.	Y	N	Y	N
11	F	M-14a	use to be fan of Sam Smith, I just fell in love with his voice but when he open up being a gay. I was like Oh! Dear, you can’t be.	Y	N	Y	N
11	D	M-14a	use to be fan of Sam Smith, I just fell in love with his voice but when he open up being a gay. I was like Oh! Dear, you can’t be.	Y	N	Y	N
12	C	M-14b	What?! An illegal was able to vote...caller is drunk...libs tell us illegals can't vote...come on.... @cspanwj	Y	N	Y	N
12	E	M-14b	What?! An illegal was able to vote...caller is drunk...libs tell us illegals can't vote...come on.... @cspanwj	Y	N	Y	N
12	F	M-14b	What?! An illegal was able to vote...caller is drunk...libs tell us illegals can't vote...come on.... @cspanwj	Y	Y	Y	Y
13	A	D-15	Not like other black Americans	Y	N	Y	N
13	C	D-15	Not like other black Americans	Y	N	N	Y
13	D	D-15	Not like other black Americans	Y	N	N	Y
14	B	M-15a	jesus christ i make a joke and now im a gay? Is that how you catch the gay?	Y	N	Y	N
14	F	M-15a	jesus christ i make a joke and now im a gay? Is that how you catch the gay?	Y	N	Y	N
14	D	M-15a	jesus christ i make a joke and now im a gay? Is that how you catch the gay?	Y	N	Y	N
15	A	M-15b	no bc I feel 2 be a crim. is more of a choice than it is to be poor, a poor can be a criminal but not every criminal is poor	N	N	Y	N
15	B	M-15b	no bc I feel 2 be a crim. is more of a choice than it is to be poor, a poor can be a criminal but not every criminal is poor	Y	N	Y	N
15	C	M-15b	no bc I feel 2 be a crim. is more of a choice than it is to be poor, a poor can be a criminal but not every criminal is poor	N	N	Y	N
15	D	M-15b	no bc I feel 2 be a crim. is more of a choice than it is to be poor, a poor can be a criminal but not every criminal is poor	N	N	Y	N
15	E	M-15b	no bc I feel 2 be a crim. is more of a choice than it is to be poor, a poor can be a criminal but not every criminal is poor	N	N	Y	N
15	F	M-15b	no bc I feel 2 be a crim. is more of a choice than it is to be poor, a poor can be a criminal but not every criminal is poor	Y	N	Y	N
16	D	M-15c	the mcdonalds was just an example that an illegal was working a managerial job...	Y	N	Y	N
16	E	M-15c	the mcdonalds was just an example that an illegal was working a managerial job...	Y	N	Y	N
16	F	M-15c	the mcdonalds was just an example that an illegal was working a managerial job...	Y	N	Y	N
17	B	M-16a	If a female generalized men she would just be a bitter person	N	N	Y	N
17	E	M-16a	If a female generalized men she would just be a bitter person	N	N	Y	N
17	F	M-16a	If a female generalized men she would just be a bitter person	N	N	Y	N
18	D	M-16b	VOTED illegally 3 times as an illegal! Was shooter in the Cascade Mall. A true Democrat!!!	Y	N	Y	Y
